Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,BFA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256324634,0.248726598,0.603454706,0.702872776,0.739223164,1.490838302,1.823413161,1.927762468,2.531457665,3.395438194,5.97992334,
Bangladesh,BGD,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203285868,0.489036426,0.735071429,0.955738738,1.307296263,2.009519143,23.61733945,65.20945954,115.9522936,100.1802109,140.1729703,
Bulgaria,BGR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3343694,101.3836073,251.7147813,322.5000568,635.2490844,679.8559653,4043.451141,32308.32566,38223.85562,40238.04715,48076.18674,
Bahrain,BHR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.94777832,109.5330528,208.4708395,247.9032782,288.9063696,328.0234836,346.473857,359.4192267,370.8329086,388.7484736,391.9879312,
"Bahamas, The",BHS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.2632136,414.3688662,530.830819,620.9792952,739.2917369,1002.137894,1053.124578,1508.844817,2357.151192,1586.706583,1261.290585,
Bosnia and Herzegovina,BIH,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87431149,18.02700938,33.84214912,41.49497064,61.74424328,82.23103889,188.4082837,1499.015078,1934.758534,2656.166408,3164.457612,
Belarus,BLR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.061243151,9.089330468,25.51118703,38.75800297,61.2794709,107.9158438,440.47239,2269.270003,3436.883031,5750.678521,7550.571687,
Belize,BLZ,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.9767107,281.6167831,979.2870435,1015.310653,834.8284781,1141.508232,1517.37654,8002.128934,11595.76162,42179.98673,131343.6665,
Bermuda,BMU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3562.43474,5529.397187,6682.305009,7292.195505,7768.123062,8093.566534,8132.72609,7875.001957,8151.068557,7698.205317,7575.164729,
Bolivia,BOL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.771950054,8.126936083,10.50331399,14.22829296,18.4934092,26.67959063,37.89038656,109.5341822,130.1842486,172.5859807,210.0568756,
Brazil,BRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2504586,44.09295617,70.5463949,86.83026093,112.3376376,158.9608274,410.044368,1581.6386,2036.384135,2740.911246,3087.188674,
Barbados,BRB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.855996,247.3611862,292.5646286,383.4059108,477.4861757,574.7791131,643.8113633,768.6153395,868.6854591,940.697719,1036.987031,
Brunei Darussalam,BRN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.16984103,58.42204594,122.8079409,150.8355299,241.5942291,573.6128451,612.209409,1620.802816,1988.530399,10720.15435,15749.1834,
Bhutan,BTN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.458784949,2.884766557,11.4028011,9.855892768,18.0793349,19.23380754,36.64962685,118.0316083,177.6255441,478.3159087,682.9857493,
