Country,Type,Number
Singapore,Prepaid,2200000
Brunei,Prepaid,440000
Myanmar,Prepaid,78000000
Philippines,Prepaid,140000000
Thailand,Prepaid,93000000
Vietnam,Prepaid,130000000
Cambodia,Prepaid,20000000
Malaysia,Prepaid,30000000
Indonesia,Prepaid,350000000
