Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176,4980,9737,14956,21432,38628,68253,93618,139513,154912,291521,295387,300056,287572,253041,232385,194163,126316,140992,148928,
"Bahamas, The",BHS,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4139,7540,10941,12803,13382,16591,20500,25500,31589,24702,15496,77930,72490,77168,81018,85128,86868,81208,82295,83000,
Bosnia and Herzegovina,BIH,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,68,213,1500,6637,13702,40000,84691,188460,292113,390902,430247,469397,516104,542405,634987,662468,700347,716366,745887,770424,
Belarus,BLR,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,123,750,1564,11419,169806,477980,1092290,1666631,2098068,2531842,2785842,2684347,2903497,3067529,3163286,3201519,3214869,3255552,
Belize,BLZ,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,2827,5022,7245,7480,8047,8340,8915,9698,9973,9900,9900,17379,18374,19006,24658,29600,36000,
Bermuda,BMU,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18487,23643,28799,33955,40000,40100,,,40100,34731,30000,22797,22808,,23000,23000,
Bolivia,BOL,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,5740,8723,12973,17589,33977,79314,96134,95948,73542,116708,154098,172783,180951,287589,379996,504097,746872,931918,
Brazil,BRA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,7000,100000,331000,731000,966252,3157466,3233800,4767007,7609452,10016914,11729995,14100890,17833051,19119646,21360635,23968352,25482478,26860779,28907867,31233004,32906998,36344670,
Barbados,BRB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27319,29630,31942,38800,47133,49216,57305,56190,62634,66884,67798,77730,78269,86887,89340,89340,106803,128000,
Brunei Darussalam,BRN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,2757,3838,6262,8126,8964,11617,16891,20029,21699,23185,19849,27557,30259,34425,36120,41072,49452,54195,71078,
